date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:09:07	156/156	------	302	error ('Found')	text/html	date:Fri,%2009%20Dec%202022%2010:05:25%20GMT	https://bigfontblog.azurewebsites.net/content/images/size/w600/2021/11/photograph-of-mx-shaun-luttin-2.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/size/w600/2021/11/photograph-of-mx-shaun-luttin-2.b.delayed	(from https://bigfontblog.azurewebsites.net/)
02:09:07	21337/21337	------	200	untouched ('OK')	text/html	etag:W/%225359-QewnIR8/BeZNqm9kQ6qwyn3Ac4A%22	https://bigfontblog.azurewebsites.net/copy-large-files-over-a-windows-remote-desktop-connection/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/copy-large-files-over-a-windows-remote-desktop-connection/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	133487/133487	------	200	untouched ('')	image/jpeg	etag:W/%222096f-1802aa96b04%22	https://bigfontblog.azurewebsites.net/content/images/2022/04/219787656_571590897338872_541651510636316.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/2022/04/219787656_571590897338872_541651510636316.jpg	(from https://bigfontblog.azurewebsites.net/)
02:09:07	19987/19987	------	200	untouched ('OK')	text/html	etag:W/%224e13-Jsh2waCr7mXATdoggrdXpAGvz1U%22	https://bigfontblog.azurewebsites.net/what-kinds-of-mental-health-psychology-and-counselling-practitioners-exists-in-canada/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/what-kinds-of-mental-health-psychology-and-counselling-practitioners-exists-in-canada/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	18181/18181	------	200	untouched ('OK')	text/html	etag:W/%224705-UP8MkVE20cC9csnGUCsH2WsAXmk%22	https://bigfontblog.azurewebsites.net/championing-psychological-health-and-safety-as-an-individual-contributor-at-the-workplace/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/championing-psychological-health-and-safety-as-an-individual-contributor-at-the-workplace/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	156/156	------	302	error ('Found')	text/html	date:Fri,%2009%20Dec%202022%2010:05:26%20GMT	https://bigfontblog.azurewebsites.net/content/images/size/w600/2021/08/WIN_20210813_19_06_55_Pro.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/size/w600/2021/08/WIN_20210813_19_06_55_Pro.d.delayed	(from https://bigfontblog.azurewebsites.net/)
02:09:07	18775/18775	------	200	untouched ('OK')	text/html	etag:W/%224957-HDs0VJ3TPOZOLhq6gzNWMbI0Ir8%22	https://bigfontblog.azurewebsites.net/list-tcp-connections-for-process/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/list-tcp-connections-for-process/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	19336/19336	------	200	untouched ('OK')	text/html	etag:W/%224b88-73Wn3U6PrXGshyjiXoiLqjFQepw%22	https://bigfontblog.azurewebsites.net/attach-vs-code-to-dotnet-test/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/attach-vs-code-to-dotnet-test/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	20192/20192	------	200	untouched ('OK')	text/html	etag:W/%224ee0-GT3U11xdTAuntAwNq2XQGCoc92s%22	https://bigfontblog.azurewebsites.net/the-spiral-software-development-lifecycle-or-how-to-spiral-into-control/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/the-spiral-software-development-lifecycle-or-how-to-spiral-into-control/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	24162/24162	------	200	untouched ('OK')	text/html	etag:W/%225e62-EbghKutgJs406EMazyvWfcd/PaU%22	https://bigfontblog.azurewebsites.net/task-on-a-dark-night-find-a-ball-that-fell-into-a-pothole-in-a-road-that-has-several-potholes/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/task-on-a-dark-night-find-a-ball-that-fell-into-a-pothole-in-a-road-that-has-several-potholes/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	156/156	------	302	error ('Found')	text/html	date:Fri,%2009%20Dec%202022%2010:05:28%20GMT	https://bigfontblog.azurewebsites.net/content/images/size/w600/2021/06/frc-perspective-sky.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/size/w600/2021/06/frc-perspective-sky.f.delayed	(from https://bigfontblog.azurewebsites.net/)
