date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:18:31	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e387087b3d3cf1:0%22	http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/fonts/glyphicons-halflings-regular.eot	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/less/bootstrap.min.css)
03:18:31	23320/23320	---M--	200	added ('OK')	font/x-woff	etag:%22e387087b3d3cf1:0%22	http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/fonts/glyphicons-halflings-regular.woff	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/less/bootstrap.min.css)
03:18:32	63155/63155	---M--	200	added ('OK')	image/svg+xml	etag:%22e387087b3d3cf1:0%22	http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/fonts/glyphicons-halflings-regular.svg	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/less/bootstrap.min.css)
03:18:34	13353/13353	---M-Z	200	added ('OK')	text/css	etag:%2211a070fb6cd3cf1:0%22	http://www.singularbiogenics.com/Themes/SingularBiogenics.Bootstrap/Styles/bootstrap-theme.min.css	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Themes/SingularBiogenics.Bootstrap/Styles/bootstrap-theme.min.css	(from http://www.singularbiogenics.com/Themes/SingularBiogenics.Bootstrap/Styles/Theme.min.css)
03:18:34	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e387087b3d3cf1:0%22	http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/fonts/glyphicons-halflings-regular.eot?	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/less/bootstrap.min.css)
03:18:36	41280/41280	---M--	200	added ('OK')	application/octet-stream	etag:%22e387087b3d3cf1:0%22	http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/styles/Bootstrap/less/bootstrap.min.css)
03:18:36	5942/5942	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2011:18:34%20GMT	http://www.singularbiogenics.com/Users/Account/LogOn?ReturnUrl=%2Fpage-placeholder	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Users/Account/LogOnb83c.html	(from http://www.singularbiogenics.com/page-placeholder)
03:18:37	5968/5968	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2011:18:36%20GMT	http://www.singularbiogenics.com/Users/Account/LogOn?ReturnUrl=%2Fhigh-density-algae-technology	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Users/Account/LogOn27c5.html	(from http://www.singularbiogenics.com/high-density-algae-technology)
03:18:39	5968/5968	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2011:18:37%20GMT	http://www.singularbiogenics.com/Users/Account/LogOn?ReturnUrl=%2Fmussel-aquaculture-technology	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Users/Account/LogOn5782.html	(from http://www.singularbiogenics.com/mussel-aquaculture-technology)
03:18:40	5946/5946	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2011:18:39%20GMT	http://www.singularbiogenics.com/Users/Account/LogOn?ReturnUrl=%2Fhigh-density-algae	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Users/Account/LogOnfe0b.html	(from http://www.singularbiogenics.com/high-density-algae)
03:18:41	5962/5962	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2011:18:40%20GMT	http://www.singularbiogenics.com/Users/Account/LogOn?ReturnUrl=%2Fmussel-aquaculture-summary	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Users/Account/LogOnc4e4.html	(from http://www.singularbiogenics.com/mussel-aquaculture-summary)
03:18:42	5934/5934	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2011:18:41%20GMT	http://www.singularbiogenics.com/Users/Account/LogOn?ReturnUrl=%2Fmatthew-salo	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Users/Account/LogOn6414.html	(from http://www.singularbiogenics.com/matthew-salo)
03:18:43	5924/5924	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Dec%202022%2011:18:42%20GMT	http://www.singularbiogenics.com/Users/Account/LogOn?ReturnUrl=%2Fcontact	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Users/Account/LogOn2bc0.html	(from http://www.singularbiogenics.com/contact)
03:18:44	4875/4875	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Dec%202022%2011:18:43%20GMT	http://www.singularbiogenics.com/Popover%20requires%20tooltip.js	C:/dev/shaunluttin/website-archives/singular-biogenics/www.singularbiogenics.com/Popover%20requires%20tooltip.1c.delayed	(from http://www.singularbiogenics.com/Themes/Bootstrap_3_2_0_Base/scripts/bootstrap.min.js)
